5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",and fields of is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",IOP increase is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",Intraocular pressure ( is not a named entity
"In those diseases causing thinning of the cornea or sclera, perforations have been known to occur with the use of topical steroids.",perforations is an adverse reaction entity
"In those diseases causing thinning of the cornea or sclera, perforations have been known to occur with the use of topical steroids.",causing is not a named entity
(  5.2  )     item{ Delayed healing- The use of steroids after cataract surgery may delay healing and increase the incidence of bleb formation.,increase bleb formation is an adverse reaction entity
(  5.2  )     item{ Delayed healing- The use of steroids after cataract surgery may delay healing and increase the incidence of bleb formation.,use is not a named entity
(  5.2  )     item{ Delayed healing- The use of steroids after cataract surgery may delay healing and increase the incidence of bleb formation.,delay healing is an adverse reaction entity
(  5.2  )     item{ Delayed healing- The use of steroids after cataract surgery may delay healing and increase the incidence of bleb formation.,of bleb is not a named entity
5.4 Bacterial Infections      Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,secondary ocular infections is an adverse reaction entity
5.4 Bacterial Infections      Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,ocular infections is not a named entity
5.4 Bacterial Infections      Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,increase the is not a named entity
5.4 Bacterial Infections      Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,suppress the host response is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",foreign body sensation is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",corneal pigmentation is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.","edema , sclera is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",corneal striae is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",or is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",episcleritis is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",application site discomfort is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", increased is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",eye pruritis is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", macular is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",eyelid irritation is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",reactions occurring in is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",% is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", sclera is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",in < is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",macular edema is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", macular is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", eyelid irritation is not a named entity"
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",increased lacrimation is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",application site irritation is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",in < 1 is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",eyelid crusting is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",Ocular is not a named entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",sclera hyperemia is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",uveitis is an adverse reaction entity
"Ocular adverse reactions occurring in < 1% of subjects included application site discomfort or irritation, corneal pigmentation and striae, episcleritis, eye pruritis, eyelid irritation and crusting, foreign body sensation, increased lacrimation, macular edema, sclera hyperemia, and uveitis.",", corneal pigmentation is not a named entity"
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",of is not a named entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",defects in visual acuity is an adverse reaction entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",glaucoma is an adverse reaction entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",use of corticosteroids is not a named entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",defects fields of vision is an adverse reaction entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",fields of is not a named entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",damage to the optic nerve is an adverse reaction entity
"5.1 IOP Increase      Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",in visual acuity is not a named entity
(  5.5  )     item{ Fungal infections- Fungal infections of the cornea are particularly prone to develop coincidentally with long-term local steroid application.,5.5 ) item is not a named entity
(  5.5  )     item{ Fungal infections- Fungal infections of the cornea are particularly prone to develop coincidentally with long-term local steroid application.,Fungal infections of the cornea is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",of the is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",secondary ocular infection is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",is thinning of is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",optic nerve damage is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",of the is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",perforation of the globe is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",pathogens is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",elevated intraocular pressure is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",posterior subcapsular cataract formation is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",cataract is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",visual field defects is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",steroids include is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",visual acuity defects is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",secondary ocular infection herpes simplex is an adverse reaction entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",may be associated is not a named entity
"6 ADVERSE REACTIONS    Adverse reactions associated with ophthalmic steroids include elevated intraocular pressure, which may be associated with optic nerve damage, visual acuity and field defects, posterior subcapsular cataract formation; secondary ocular infection from pathogens including herpes simplex, and perforation of the globe where there is thinning of the cornea or sclera.",herpes is not a named entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",reduced visual acuity is an adverse reaction entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",in 1-5 is not a named entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",in is not a named entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",eye inflammation is an adverse reaction entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",punctate keratitis is an adverse reaction entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.","visual acuity , is not a named entity"
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",visual acuity is not a named entity
"Other ocular adverse reactions occurring in 1-5% of subjects included reduced visual acuity, punctate keratitis, eye inflammation, and iritis.",iritis is an adverse reaction entity
"In those diseases causing thinning of the cornea or sclera, perforations have been known to occur with the use of topical steroids.",perforations is an adverse reaction entity
"In those diseases causing thinning of the cornea or sclera, perforations have been known to occur with the use of topical steroids.",", perforations have is not a named entity"
5.6 Fungal Infections      Fungal infections of the cornea are particularly prone to develop coincidentally with long-term local steroid application.,of the is not a named entity
5.6 Fungal Infections      Fungal infections of the cornea are particularly prone to develop coincidentally with long-term local steroid application.,Fungal infections of the cornea is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",limbal hyperemia is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.","irritation , is not a named entity"
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",uveitis is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",occurring in is not a named entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",punctate keratitis is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",reactions is not a named entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",limbal and is not a named entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",conjunctival hyperemia is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",", is not a named entity"
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",eye irritation is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",increased IOP is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",iritis is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",blurred vision is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",", is not a named entity"
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",in 5-10 % is not a named entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",common adverse is not a named entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",eye pain is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",headache is an adverse reaction entity
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.","vision , eye is not a named entity"
"The most common adverse reactions of those exposed to DUREZOL occurring in 5-10% of subjects included blurred vision, eye irritation, eye pain, headache, increased IOP, iritis, limbal and conjunctival hyperemia, punctate keratitis, and uveitis.",", and uveitis is not a named entity"
(  5.3  )     item{ Bacterial infections- Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,secondary ocular infections is an adverse reaction entity
(  5.3  )     item{ Bacterial infections- Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,( 5.3 is not a named entity
(  5.3  )     item{ Bacterial infections- Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,suppress the host response is an adverse reaction entity
(  5.3  )     item{ Bacterial infections- Prolonged use of corticosteroids may suppress the host response and thus increase the hazard of secondary ocular infections.,thus is not a named entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",C-cell tumors has is not a named entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",thyroid C-cell tumors is an adverse reaction entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",thyroid C-cell tumors is an adverse reaction entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",unknown is not a named entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",has not is not a named entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",MTC is an adverse reaction entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",C-cell tumors has is not a named entity
"It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined (5.1, 13.1).",medullary thyroid carcinoma is an adverse reaction entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.",frequent bowel movements is an adverse reaction entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.",fecal volume increased is an adverse reaction entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.",: Adverse is not a named entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.",diarrhea is an adverse reaction entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.",> =5 is not a named entity
"Table 1: Adverse Reactions in Placebo-Controlled Trials Reported in >=5% of TRULICITY-Treated Patients    a Includes diarrhea, fecal volume increased, frequent bowel movements.","diarrhea , is not a named entity"
Other Adverse Reactions           Hypoglycemia         Table 2  summarizes the incidence of documented symptomatic (<=70 mg/dL glucose threshold) and severe hypoglycemia in the placebo-controlled clinical studies.,< is not a named entity
Other Adverse Reactions           Hypoglycemia         Table 2  summarizes the incidence of documented symptomatic (<=70 mg/dL glucose threshold) and severe hypoglycemia in the placebo-controlled clinical studies.,the placebo-controlled is not a named entity
Other Adverse Reactions           Hypoglycemia         Table 2  summarizes the incidence of documented symptomatic (<=70 mg/dL glucose threshold) and severe hypoglycemia in the placebo-controlled clinical studies.,hypoglycemia is an adverse reaction entity
Other Adverse Reactions           Hypoglycemia         Table 2  summarizes the incidence of documented symptomatic (<=70 mg/dL glucose threshold) and severe hypoglycemia in the placebo-controlled clinical studies.,symptomatic hypoglycemia is an adverse reaction entity
More patients receiving TRULICITY 0.75 mg (1.3%) and TRULICITY 1.5 mg (3.5%) discontinued treatment due to gastrointestinal adverse reactions than patients receiving placebo (0.2%).,gastrointestinal adverse reactions is an adverse reaction entity
More patients receiving TRULICITY 0.75 mg (1.3%) and TRULICITY 1.5 mg (3.5%) discontinued treatment due to gastrointestinal adverse reactions than patients receiving placebo (0.2%).,placebo is not a named entity
"5.1 Risk of Thyroid C-cell Tumors         In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure [see Nonclinical Toxicology (  13.1  )]  .",thyroid C-cell tumors is an adverse reaction entity
